id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,system_type,equipment_type
eq-1,Heat Recovery Unit (HRU),HRU202,lv-2,,,2.614308088,0.3993825949,-11.63891877,-2.5072875,5.078108088,-10.60791877,-1.0772875,5.390108088,-11.13091877,-1.7922875,0,hvac,
eq-2,Heat Recovery Unit (HRU),HRU203,lv-2,,,2.7432,0.3993825949,-10.51155,3.276925,5.207,-9.48055,4.706925,5.519,-9.98855,3.991925,180,hvac,
eq-3,Heat Recovery Unit (HRU),HRU204,lv-6,,,3.146,0.3993825949,-3.6218,6.62311357,8.8864,-2.5908,8.05311357,9.1984,-3.0988,7.33811357,180,hvac,
eq-4,Heat Recovery Unit (HRU),HRU205,lv-2,,,2.794,0.3993825949,2.3669625,8.770265534,5.2578,3.3979625,10.20026553,5.5698,2.8749625,9.485265534,360,hvac,
eq-5,Heat Recovery Unit (HRU),HRU109B,lv-2,,,2.2824,0.3993825949,14.56420795,9.680214639,4.7462,15.59520795,11.11021464,5.0582,15.07220795,10.39521464,360,hvac,
eq-6,Heat Recovery Unit (HRU),HRU109A,lv-1,,,4.67,0.3993825949,17.45285426,-6.5751,4.67,18.48385426,-5.1451,4.982,17.97585426,-5.8601,180,hvac,
eq-7,Heat Recovery Unit (HRU),HRU303,lv-6,,,3.0952,0.3993825949,-11.922125,-2.466118117,8.8356,-10.891125,-1.036118117,9.1476,-11.414125,-1.751118117,360,hvac,
eq-8,Heat Recovery Unit (HRU),HRU106A,lv-6,,,3.5052,0.3993825949,-1.193983333,-7.71785344,9.2456,-0.1629833333,-6.28785344,9.5576,-0.6709833333,-7.00285344,180,hvac,
eq-9,Heat Recovery Unit (HRU),HRU308,lv-6,,,3.0952,0.3993825949,18.84965107,-1.725887153,8.8356,19.88065107,-0.2958871531,9.1476,19.35765107,-1.010887153,0,hvac,
eq-10,Heat Recovery Unit (HRU),HRU309,lv-6,,,3.146,0.3993825949,13.74055798,3.2531913,8.8864,14.77155798,4.6831913,9.1984,14.26355798,3.9681913,180,hvac,
eq-11,Heat Recovery Unit (HRU),HRU307,lv-6,,,2.9936,0.3993825949,7.861246575,4.312142355,8.734,8.892246575,5.742142355,9.046,8.384246575,5.027142355,180,hvac,
eq-12,Heat Recovery Unit (HRU),HRU304,lv-6,,,3.5016,0.3993825949,-10.34137943,3.231883849,9.242,-9.310379427,4.661883849,9.554,-9.818379427,3.946883849,180,hvac,
eq-13,Heat Recovery Unit (HRU),HRU108B,lv-10,,,5.6896,0.3993825949,9.150813215,-6.5751,4.6355,10.18181322,-5.1451,4.9475,9.673813215,-5.8601,180,hvac,
eq-14,Heat Recovery Unit (HRU),HRU108A,lv-10,,,5.6896,0.3993825949,4.610708851,-6.5751,4.6355,5.641708851,-5.1451,4.9475,5.133708851,-5.8601,180,hvac,
eq-15,Heat Recovery Unit (HRU),HRU301A,lv-6,,,3.4508,0.3993825949,-26.34604344,9.726764929,9.1912,-25.31504344,11.15676493,9.5032,-25.83804344,10.44176493,360,hvac,
eq-16,Heat Recovery Unit (HRU),HRU301B,lv-6,,,3.5016,0.3993825949,-19.60869344,9.726764929,9.242,-18.57769344,11.15676493,9.554,-19.10069344,10.44176493,360,hvac,
eq-17,Heat Recovery Unit (HRU),HRU200A,lv-5,,,3.1206,0.3993825949,-28.41542224,10.74711245,4.797,-26.98542224,11.77811245,5.109,-27.70042224,11.25511245,90,hvac,
eq-18,Heat Recovery Unit (HRU),HRU200B,lv-5,,,3.0952,0.3993825949,-17.62628123,3.4671,4.7716,-16.19628123,4.4981,5.0836,-16.91128123,3.9751,90,hvac,
eq-19,Heat Recovery Unit (HRU),HRU306,lv-6,,,3.0952,0.3993825949,4.333875,-2.466118117,8.8356,5.364875,-1.036118117,9.1476,4.841875,-1.751118117,360,hvac,
eq-20,Heat Recovery Unit (HRU),HRU409,lv-7,,,3.0952,0.3993825949,18.84965107,-1.725887153,12.8996,19.88065107,-0.2958871531,13.2116,19.35765107,-1.010887153,0,hvac,
eq-21,Heat Recovery Unit (HRU),HRU407,lv-7,,,3.0952,0.3993825949,4.333875,-2.466118117,12.8996,5.364875,-1.036118117,13.2116,4.841875,-1.751118117,360,hvac,
eq-22,Heat Recovery Unit (HRU),HRU403,lv-7,,,3.0952,0.3993825949,-11.922125,-2.466118117,12.8996,-10.891125,-1.036118117,13.2116,-11.414125,-1.751118117,360,hvac,
eq-23,Heat Recovery Unit (HRU),HRU401A,lv-7,,,3.4508,0.3993825949,-26.34604344,9.726764929,13.2552,-25.31504344,11.15676493,13.5672,-25.83804344,10.44176493,360,hvac,
eq-24,Heat Recovery Unit (HRU),HRU401B,lv-7,,,3.5016,0.3993825949,-19.60869344,9.726764929,13.306,-18.57769344,11.15676493,13.618,-19.10069344,10.44176493,360,hvac,
eq-25,Heat Recovery Unit (HRU),HRU404,lv-7,,,3.5016,0.3993825949,-10.34137943,3.231883849,13.306,-9.310379427,4.661883849,13.618,-9.818379427,3.946883849,180,hvac,
eq-26,Heat Recovery Unit (HRU),HRU408,lv-7,,,2.9936,0.3993825949,7.861246575,4.312142355,12.798,8.892246575,5.742142355,13.11,8.384246575,5.027142355,180,hvac,
eq-27,Heat Recovery Unit (HRU),HRU410,lv-7,,,3.146,0.3993825949,13.74055798,3.2531913,12.9504,14.77155798,4.6831913,13.2624,14.26355798,3.9681913,180,hvac,
eq-28,Heat Recovery Unit (HRU),HRU501A,lv-8,,,3.4508,0.3993825949,-26.34604344,9.726764929,17.3192,-25.31504344,11.15676493,17.6312,-25.83804344,10.44176493,360,hvac,
eq-29,Heat Recovery Unit (HRU),HRU501B,lv-8,,,3.5016,0.3993825949,-19.60869344,9.726764929,17.37,-18.57769344,11.15676493,17.682,-19.10069344,10.44176493,360,hvac,
eq-30,Heat Recovery Unit (HRU),HRU504,lv-8,,,3.5016,0.3993825949,-10.34137943,3.231883849,17.37,-9.310379427,4.661883849,17.682,-9.818379427,3.946883849,180,hvac,
eq-31,Heat Recovery Unit (HRU),HRU506,lv-8,,,2.9936,0.3993825949,7.861246575,4.312142355,16.862,8.892246575,5.742142355,17.174,8.384246575,5.027142355,180,hvac,
eq-32,Heat Recovery Unit (HRU),HRU507,lv-8,,,3.146,0.3993825949,13.74055798,3.2531913,17.0144,14.77155798,4.6831913,17.3264,14.26355798,3.9681913,180,hvac,
eq-33,Heat Recovery Unit (HRU),HRU406,lv-8,,,3.146,0.3993825949,-3.6218,6.62311357,17.0144,-2.5908,8.05311357,17.3264,-3.0988,7.33811357,180,hvac,
eq-34,Heat Recovery Unit (HRU),HRU105A,lv-10,,,2.942414344,0.3993825949,-8.35040444,-7.363678267,1.888314344,-7.31940444,-5.933678267,2.200314344,-7.82740444,-6.648678267,180,hvac,
eq-35,Heat Recovery Unit (HRU),HRU105B,lv-10,,,3.019,0.3993825949,-8.370454545,8.257647706,1.9649,-7.339454545,9.687647706,2.2769,-7.862454545,8.972647706,0,hvac,
eq-36,Heat Recovery Unit (HRU),HRU107,lv-10,,,2.9682,0.3993825949,-3.615314773,8.157647706,1.9141,-2.584314773,9.587647706,2.2261,-3.107314773,8.872647706,0,hvac,
eq-37,Heat Recovery Unit (HRU),HRU102,lv-3,,,2.511,0.3993825949,-21.46723333,10.07228269,0.7076,-20.43623333,11.50228269,1.0196,-20.95923333,10.78728269,0,hvac,
