id,number,base_offset,mesh_file,host_id,position,material,width,height,operation,hinge_position,swing_side
d-33,232,0,,w-47,2.699,composite,0.915,2.134,single_swing,start,right
d-34,233,0,,cw-23,0.463,glass,0.915,2.134,,end,left
d-35,217,0,,cw-25,2.377,glass,0.915,2.134,,start,left
d-36,212,0,,w-48,1.842,composite,0.915,2.134,single_swing,start,right
d-37,214,0,,w-48,3.158,composite,0.915,2.134,single_swing,end,right
d-38,211,0,,w-55,4.82,composite,0.915,2.134,single_swing,start,left
d-39,210,0,,w-55,0.558,composite,0.915,2.134,single_swing,end,left
d-40,201,0,,cw-26,0.463,glass,0.915,2.134,,end,right
d-49,202,0,,w-61,37.727,composite,0.915,2.134,single_swing,end,right
d-50,203,0,,w-61,36.412,composite,0.915,2.134,single_swing,start,right
d-51,204,0,,w-61,27.812,composite,0.915,2.134,single_swing,end,right
d-52,205,0,,w-61,23.727,composite,0.915,2.134,single_swing,end,right
d-53,206,0,,w-61,22.412,composite,0.915,2.134,single_swing,start,right
d-54,207,0,,w-61,18.412,composite,0.915,2.134,single_swing,start,right
d-55,208,0,,w-61,9.727,composite,0.915,2.134,single_swing,end,right
d-56,209,0,,w-61,0.958,composite,0.915,2.134,single_swing,end,right
d-57,218,0,,w-108,30.446,composite,0.915,2.134,single_swing,end,right
d-58,219A,0,,w-108,28.756,composite,0.915,2.134,single_swing,start,right
d-59,219B,0,,w-108,16.001,composite,0.915,2.134,single_swing,end,right
d-60,220,0,,w-108,14.686,composite,0.915,2.134,single_swing,start,right
d-61,221,0,,w-108,7.701,composite,0.915,2.134,single_swing,end,right
d-62,222,0,,w-92,7.675,composite,0.915,2.134,single_swing,start,right
d-63,231,0,,w-50,3.257,composite,0.915,2.134,single_swing,end,left
d-64,230,0,,w-50,2.143,composite,0.915,2.134,single_swing,start,left
d-65,229,0,,w-105,0.658,composite,0.915,2.134,single_swing,end,right
d-66,226,0,,w-101,6.611,composite,0.915,2.134,single_swing,start,left
d-67,228,0,,w-97,3.125,composite,0.915,2.134,single_swing,start,right
d-68,225,0,,w-101,0.658,composite,0.915,2.134,single_swing,end,left
d-69,227,0,,w-107,1.115,composite,1.73,2.134,double_swing,end,left
d-99,234,-3.8,,cw-30,0.758,glass,0.915,2.134,,end,right
d-100,,-3.8,,cw-30,,composite,0,0,,start,right
d-101,223,-3.8,,cw-24,0.539,glass,0.915,2.134,,end,right
